OBJECTID,NAME,XCoord,YCoord,LATIT,LONGI,
76,Banner Casa Grande Medical Center,-111.709586,32.8812934,32.881293,-111.709586,
77,University of Arizona Cancer Center - North Campus,-110.9431961,32.2769268,32.276927,-110.943196,
78,Tucson Medical Center,-110.8780716,32.252341,32.252341,-110.878072,
79,Williams Health Care Center,-112.1925492,35.2471128,35.247113,-112.192549,
80,Verde Valley Medical Center,-112.028814,34.7364148,34.736415,-112.028814,
81,Northern Arizona Veterans Affairs Health Care System,-112.452608,34.5538909,34.553891,-112.452608,
82,Yavapai Regional Medical Center West Campus,-112.4813118,34.5593851,34.559385,-112.481312,
83,White Mountain Regional Medical Center,-109.2855801,34.1314008,34.131401,-109.28558,
84,Claypool Clinic (historical),-110.8467781,33.4108881,33.410888,-110.846778,
85,Gila County Hospital,-110.7745537,33.393389,33.393389,-110.774554,
86,Cobre Valley Regional Medical Center,-110.8261458,33.40655,33.40655,-110.826146,
87,Payson Regional Medical Center,-111.32077,34.22998,34.22998,-111.32077,
88,Josephine Goldwater Hospital (historical),-110.0534442,34.2433751,34.243375,-110.053444,
89,Summit Healthcare Regional Medical Center,-110.0178497,34.2027458,34.202746,-110.01785,
90,Magma Hospital,-111.0970638,33.2997782,33.299778,-111.097064,
91,Mammoth Copper Corporation Hospital (historical),-110.6289846,32.612293,32.612293,-110.628985,
92,San Manuel Copper Hospital,-110.6278734,32.6106264,32.610626,-110.627873,
93,Baptist Hospital,-92.2923728,34.7392588,34.739259,-92.292373,
94,Bates Memorial Hospital,-94.2199286,36.3786872,36.378687,-94.219929,
95,Chester Hospital,-93.5885109,33.6601173,33.660117,-93.588511,
96,Crittenden Memorial Hospital,-90.1890778,35.143263,35.143263,-90.189078,
97,Saint Vincent Doctors Hospital,-92.3441256,34.7479123,34.747912,-92.344126,
98,Central Arkansas Veterans Healthcare System Eugene J Towbin Healthcare Center,-92.297105,34.7775724,34.777572,-92.297105,
99,Lawrence Memorial Hospital,-90.9678473,36.0737404,36.07374,-90.967847,
100,Memorial Hospital,-92.2859838,34.7778693,34.777869,-92.285984,
101,Oakdale Nursing Home,-91.6654137,35.2681405,35.268141,-91.665414,
102,Rosewood Convalescent Center,-93.0390677,34.532034,34.532034,-93.039068,
103,Thomas McRae Tuberculosis Home,-92.4473787,34.6167597,34.61676,-92.447379,
104,Tuberculosis Sanitorium,-94.3477128,35.3642577,35.364258,-94.347713,
105,Twin City Hospital,-94.4088255,35.3975907,35.397591,-94.408825,
106,Summit Medical Center,-94.3388409,35.4356325,35.435633,-94.338841,
107,White River Medical Center,-91.6345866,35.7678847,35.767885,-91.634587,
108,Lee County Memorial Hospital,-90.7748339,34.7756526,34.775653,-90.774834,
109,Medical Center of South Arkansas,-92.6708386,33.2206742,33.220674,-92.670839,
110,Warner Brown Hospital,-92.6690453,33.2140187,33.214019,-92.669045,
111,Little River Memorial Hospital,-94.1348592,33.6692447,33.669245,-94.134859,
112,Magnolia Regional Medical Center,-93.238825,33.2742315,33.274232,-93.238825,
113,Nevada County Hospital,-93.3773947,33.8117771,33.811777,-93.377395,
114,Five Rivers Medical Center,-90.997583,36.2900101,36.29001,-90.997583,
115,Bradley County Medical Center,-92.0591804,33.610541,33.610541,-92.05918,
116,Dallas County Medical Center,-92.4257334,33.8111342,33.811134,-92.425733,
117,Bull Shoals Community Hospital and Clinic,-92.5840528,36.3745117,36.374512,-92.584053,
118,Marion County Hospital (historical),-92.6879433,36.2317371,36.231737,-92.687943,
119,Delta Medical Center (historical),-91.1959577,34.8814831,34.881483,-91.195958,
120,England Hospital,-91.9659728,34.5500941,34.550094,-91.965973,
121,Wadley Regional Medical Center At Hope,-93.5845575,33.6482789,33.648279,-93.584557,
122,CrossRidge Community Hospital,-90.78668,35.2196945,35.219695,-90.78668,
123,East Arkansas Mental Health Center,-90.7856687,35.2234219,35.223422,-90.785669,
124,Memorial Hospital,-91.4437319,33.5198345,33.519835,-91.443732,
125,Chicot Memorial Medical Center,-91.2893584,33.3061055,33.306106,-91.289358,
126,Newport Hospital and Clinic,-91.280684,35.6070239,35.607024,-91.280684,
127,Buffalo Island Community Hospital (historical),-90.1584279,35.8900731,35.890073,-90.158428,
128,South Mississippi County Regional Medical Center,-89.9759702,35.6998349,35.699835,-89.97597,
129,Saint Mary's Regional Medical Center,-93.150087,35.2835307,35.283531,-93.150087,
130,Dewitt City Hospital,-91.3384104,34.2794231,34.279423,-91.33841,
131,Baptist Health Medical Center Stuttgart,-91.5582873,34.5176896,34.51769,-91.558287,
132,Ashley County Medical Center,-91.9389178,33.1383527,33.138353,-91.938918,
133,Corning Community Hospital,-90.5812228,36.423394,36.423394,-90.581223,
134,Piggott Community Hospital,-90.2048606,36.3901773,36.390177,-90.204861,
135,Conway Regional Medical Center,-92.4577648,35.0861257,35.086126,-92.457765,
136,Mercy Hospital Turner Memorial,-93.8338869,35.4857633,35.485763,-93.833887,
137,Fulton County Hospital,-91.8103027,36.3828734,36.382873,-91.810303,
138,Saint Michael Hospital of Texarkana,-94.0410212,33.4259584,33.425958,-94.041021,
139,Cooper Clinic,-94.3721579,35.36648,35.36648,-94.372158,
140,Harbor View Mercy Hospital,-94.3128994,35.3411588,35.341159,-94.312899,
141,Labahn Veterinary Hospital,-94.386047,35.4034237,35.403424,-94.386047,
142,Waldron Place Medical Center,-94.3724357,35.3675911,35.367591,-94.372436,
143,Delta Memorial Hospital,-91.480401,33.8733118,33.873312,-91.480401,
144,McGehee - Desha County Hospital,-91.3924195,33.6183689,33.618369,-91.392419,
145,North Logan Mercy Hospital,-93.7249611,35.2893156,35.289316,-93.724961,
146,Smith Clinic,-93.7307507,35.2978658,35.297866,-93.730751,
147,Booneville Community Hospital,-93.9353559,35.1403695,35.14037,-93.935356,
148,Ouachita County Medical Center,-92.8369151,33.5759903,33.57599,-92.836915,
149,Ouachita Medical Center,-92.8504408,33.5817806,33.581781,-92.850441,
150,Pike County Memorial Hospital,-93.6868189,34.0710076,34.071008,-93.686819,
151,Northeast Arkansas Surgery Center,-90.7001123,35.8353525,35.835353,-90.700112,
152,Saint Bernards Medical Center,-90.7026611,35.8364671,35.836467,-90.702661,
153,Arkansas Methodist Medical Center,-90.498373,36.0520183,36.052018,-90.498373,
154,Baptist Health Medical Center - Arkadelphia,-93.0888253,34.1229059,34.122906,-93.088825,
155,Central Arkansas Hospital,-91.7310749,35.2340721,35.234072,-91.731075,
156,Searcy Medical Center,-91.7037479,35.2520295,35.25203,-91.703748,
157,Unity Health White County Medical Center,-91.6971448,35.2520001,35.252,-91.697145,
158,Johnson Regional Medical Center,-93.44497,35.4618619,35.461862,-93.44497,
159,Fayetteville City Hospital,-94.1649266,36.0598018,36.059802,-94.164927,
160,Northwest Medical Center - Springdale,-94.1366735,36.1803677,36.180368,-94.136673,
161,Regency Hospital of Northwest Arkansas,-94.1584402,36.077779,36.077779,-94.15844,
162,Helena Regional Medical Center,-90.6269685,34.5099435,34.509944,-90.626968,
163,East Arkansas Mental Health Center,-90.6212177,34.5401021,34.540102,-90.621218,
164,Crawford County Memorial Hospital,-94.3386413,35.4354473,35.435447,-94.338641,
165,Community Medical Center of Izard County,-92.1283494,36.1267711,36.126771,-92.128349,
166,Salasco Sanitarium (historical),-92.4459898,34.6431484,34.643148,-92.44599,
167,Saline Memorial Hospital,-92.585931,34.5734,34.5734,-92.585931,
168,Hot Spring County Medical Center,-92.7858478,34.3588091,34.358809,-92.785848,
169,Baptist Memorial Hospital,-91.4965281,36.3150661,36.315066,-91.496528,
170,Saint Vincent Hospital,-92.7213603,35.1679929,35.167993,-92.72136,
171,Saint Anthonys Hospital,-92.7434982,35.1475841,35.147584,-92.743498,
172,Mercy Hospital Waldron,-94.1060326,34.8945379,34.894538,-94.106033,
173,Huntsville Memorial Hospital,-93.7421365,36.0939648,36.093965,-93.742136,
174,Holt Krock Clinic,-94.4177148,35.3717581,35.371758,-94.417715,
175,De Queen Regional Medical Center,-94.3526754,34.0478816,34.047882,-94.352675,
176,The Bridgeway Hospital,-92.3544928,34.8219661,34.821966,-92.354493,
177,Rebsamen Medical Center,-92.1250958,34.8732177,34.873218,-92.125096,
178,Riverview Medical Center,-92.2845947,34.7534252,34.753425,-92.284595,
179,Southwest Regional Medical Center (historical),-92.3993215,34.6589816,34.658982,-92.399321,
180,Dardanelle Hospital,-93.1573084,35.2204803,35.22048,-93.157308,
181,Chambers Memorial Hospital,-93.3881,35.0544618,35.054462,-93.3881,
182,Grays Hospital,-91.6504169,35.772299,35.772299,-91.650417,
183,Arkansas Childrens Hospital,-92.292439,34.7422409,34.742241,-92.292439,
184,Arkansas State Hospital,-92.3244152,34.7496875,34.749688,-92.324415,
185,Baptist Health Medical Center Little Rock,-92.3814302,34.7445567,34.744557,-92.38143,
186,Doctors Hospital,-92.3440414,34.7478698,34.74787,-92.344041,
187,Pulaski County Hospital,-92.3082068,34.7242589,34.724259,-92.308207,
188,Ozark Health Medical Center,-92.4526683,35.5591748,35.559175,-92.452668,
189,Mercy Hospital Berryville,-93.5518196,36.3588802,36.35888,-93.55182,
190,Eureka Springs Hospital,-93.7442379,36.4001587,36.400159,-93.744238,
191,North Arkansas Regional Medical Center,-93.1090084,36.2364919,36.236492,-93.109008,
192,Baptist Health Medical Center Heber Springs,-91.9981469,35.5044209,35.504421,-91.998147,
193,Estelle Hospital (historical),-92.0359823,35.4917455,35.491746,-92.035982,
194,Randolph Memorial Hospital (historical),-90.9778999,36.2531224,36.253122,-90.9779,
195,Ozarks Community Hospital of Gravette,-94.4605314,36.4086461,36.408646,-94.460531,
196,Saint Mary - Rogers Memorial Hospital,-94.1339501,36.3332164,36.333216,-94.13395,
197,Siloam Springs Memorial Hospital,-94.5407328,36.1818607,36.181861,-94.540733,
198,Baxter Regional Medical Center,-92.3963653,36.3421037,36.342104,-92.396365,
199,Benton State Hospital,-92.6512747,34.5242592,34.524259,-92.651275,
200,Baptist Memorial Hospital Blytheville,-89.9173118,35.9427975,35.942798,-89.917312,
201,Harris Hospital,-91.2649736,35.6085659,35.608566,-91.264974,
202,Howard Memorial Hospital,-93.8572414,33.9526705,33.952671,-93.857241,
203,Jefferson Regional Medical Center,-92.017442,34.1884579,34.188458,-92.017442,
204,Leo N Levi National Arthritis Hospital,-93.0576752,34.5101715,34.510172,-93.057675,
205,Ouachita Hospital,-93.0529572,34.506756,34.506756,-93.052957,
206,Saint Joseph Hospital,-93.0568463,34.5187006,34.518701,-93.056846,
207,Saint Vincent Infirmary Medical Center,-92.3392809,34.7503441,34.750344,-92.339281,
208,University of Arkansas for Medical Sciences,-92.3200481,34.7495941,34.749594,-92.320048,
209,Saint Edward Mercy Medical Center,-94.3529839,35.3555377,35.355538,-94.352984,
210,Sparks Regional Medical Center,-94.4195486,35.3749708,35.374971,-94.419549,
211,Northeast Arkansas Medical Center,-90.6664777,35.8083847,35.808385,-90.666478,
212,Drew Memorial Hospital,-91.8168007,33.6108964,33.610896,-91.816801,
213,HealthSouth Scottsdale Rehabilitation Hospital,-111.8725722,33.583382,33.583382,-111.872572,
214,Saint Louis Southwestern Railway Hospital,-94.0207427,33.420681,33.420681,-94.020743,
215,Wilhelmina Medical Center,-94.233544,34.5781617,34.578162,-94.233544,
216,Forrest City Medical Center,-90.7758574,35.0399889,35.039989,-90.775857,
217,Libby Memorial Physical Medical Center,-93.0490681,34.5120338,34.512034,-93.049068,
218,Woodruff County Hospital,-91.2204029,35.2561978,35.256198,-91.220403,
219,Batson Memorial Sanitarium,-85.401615,32.9167925,32.916793,-85.401615,
220,Marshall Medical Center South,-86.1605486,34.2216741,34.221674,-86.160549,
221,Bryce Hospital,-87.5362923,33.216381,33.216381,-87.536292,
222,Children's Hospital of Alabama Main Campus,-86.8048793,33.5040115,33.504012,-86.804879,
223,Colonial Manor Hospital,-87.6475277,34.8373091,34.837309,-87.647528,
224,Columbia Regional Medical Center (historical),-86.5027364,31.3135039,31.313504,-86.502736,
225,Crippled Children Clinic,-85.3593775,31.227398,31.227398,-85.359377,
226,DePorres Hospital (historical),-88.0513874,30.6724126,30.672413,-88.051387,
227,Mountain View Hospital,-86.0196937,34.0723438,34.072344,-86.019694,
228,DCH Regional Medical Center,-87.5263767,33.2055042,33.205504,-87.526377,
229,East End Memorial Hospital (historical),-86.7233221,33.5642708,33.564271,-86.723322,
230,Lake Martin Community Hospital,-85.7409385,32.8186944,32.818694,-85.740938,
231,Troy Regional Medical Center,-85.9455308,31.7814977,31.781498,-85.945531,
232,Eliza Coffee Memorial Hospital,-87.6826092,34.7939356,34.793936,-87.682609,
233,Flowers Hospital Center for Metabolic and Weight Loss Surgery,-85.4567783,31.2375076,31.237508,-85.456778,
234,Hale Memorial Hospital (historical),-87.5280612,33.2037297,33.20373,-87.528061,
235,Highland Baptist Hospital,-86.7899894,33.5028832,33.502883,-86.789989,
236,Hill Crest Behavioral Health Services,-86.7301218,33.5488167,33.548817,-86.730122,
237,Highlands Medical Center,-86.047382,34.6622826,34.662283,-86.047382,
238,Marengo County Hospital,-87.7986221,32.31292,32.31292,-87.798622,
239,Mobile Infirmary,-88.0808843,30.6966531,30.696653,-88.080884,
240,Monroe County Hospital,-87.3208927,31.4980764,31.498076,-87.320893,
241,Moody Hospital,-85.3971556,31.2271199,31.22712,-85.397156,
242,Russellville Hospital,-87.7183253,34.5109606,34.510961,-87.718325,
243,North West Alabama Crippled Childrens Clinic,-87.6478066,34.7434223,34.743422,-87.647807,
244,William D Partlow Developmental Center (historical),-87.515935,33.2101969,33.210197,-87.515935,
245,Providence Hospital,-88.1987441,30.679075,30.679075,-88.198744,
246,Russell Medical Center,-85.969494,32.9303865,32.930387,-85.969494,
247,Saint Vincent's Hospital Birmingham,-86.7891762,33.507618,33.507618,-86.789176,
248,Tri-Counties Tuberculosis Sanatorium,-86.0641469,34.6736961,34.673696,-86.064147,
249,Henry County Hospital (historical),-85.2538226,31.5543356,31.554336,-85.253823,
250,Houston County Health Center,-85.3968777,31.221009,31.221009,-85.396878,
251,Southeast Alabama Medical Center,-85.3629471,31.2162419,31.216242,-85.362947,
252,Wiregrass Comprehensive Mental Health Center,-85.3707664,31.1965656,31.196566,-85.370766,
253,Lamar County Medical Center,-88.1186409,33.7498321,33.749832,-88.118641,
254,Helen Keller Hospital,-87.6999723,34.7461275,34.746128,-87.699972,
255,Shoals Hospital,-87.6761678,34.747152,34.747152,-87.676168,
256,Cobb Memorial Hospital,-85.0213217,32.4798645,32.479865,-85.021322,
257,Lakeview Hospital (historical),-86.3227238,31.001569,31.001569,-86.322724,
258,Dale Medical Center,-85.63165,31.4517709,31.451771,-85.63165,
259,Grove Hill Memorial Hospital,-87.7759394,31.6942485,31.694249,-87.775939,
260,South Alabama Infirmary (historical),-87.7747216,31.7012683,31.701268,-87.774722,
261,Thomasville Hospital,-87.7375039,31.9312634,31.931263,-87.737504,
262,Atmore Health Center,-87.4891485,31.025181,31.025181,-87.489148,
263,Greenlawn Hospital,-87.4805371,31.0224033,31.022403,-87.480537,
264,Crenshaw Community Hospital,-86.2650151,31.6935593,31.693559,-86.265015,
265,Black Belt Community Health Center,-88.1672472,32.7742986,32.774299,-88.167247,
266,North Baldwin Infirmary,-87.7848147,30.9034618,30.903462,-87.784815,
267,Thomas Hospital,-87.8894795,30.5186347,30.518635,-87.889479,
268,Mercy Medical,-87.9114545,30.6126484,30.612648,-87.911454,
269,Elba General Hospital,-86.0762,31.4282,31.4282,-86.0762,
270,Greenville Confederate Hospital (historical),-86.6310854,31.8315416,31.831542,-86.631085,
271,Randolph Medical Center,-85.3886266,33.158131,33.158131,-85.388627,
272,Phil Campbell Medical Clinic,-87.7086402,34.3464856,34.346486,-87.70864,
273,Central Alabama Hospital (historical),-86.637482,32.8401259,32.840126,-86.637482,
274,Chilton Medical Center,-86.6218435,32.854648,32.854648,-86.621843,
275,Courtland Community Hospital,-87.3125206,34.6706461,34.670646,-87.312521,
276,Cherokee Medical Center,-85.6511861,34.1617254,34.161725,-85.651186,
277,Abernathy Memorial Hospital (historical),-87.2666408,31.0021263,31.002126,-87.266641,
278,D W McMillan Memorial Hospital,-87.0733243,31.1269754,31.126975,-87.073324,
279,Wiregrass Medical Center,-85.8911806,31.0488105,31.048811,-85.891181,
280,Macon County Hospital,-85.6749525,32.4268064,32.426806,-85.674952,
281,Elmore Community Hospital,-86.1864281,32.5523933,32.552393,-86.186428,
282,Doctor Savages Hospital (historical),-87.835013,32.5120806,32.512081,-87.835013,
283,Fayette Medical Center,-87.8246743,33.7080479,33.708048,-87.824674,
284,Athens - Limestone Hospital,-86.9787735,34.8039445,34.803945,-86.978773,
285,Doctor D E Jackson Memorial Hospital (historical),-87.1536247,34.9903613,34.990361,-87.153625,
286,Marion Regional Medical Center,-87.9909569,34.1257727,34.125773,-87.990957,
287,East Alabama Hospital (historical),-85.3832796,32.6498559,32.649856,-85.38328,
288,East Alabama Medical Center,-85.4046405,32.6388919,32.638892,-85.40464,
289,J Paul Jones Hospital,-87.2997967,31.998155,31.998155,-87.299797,
290,Davies Hospital (historical),-85.3999334,31.2232312,31.223231,-85.399933,
291,Frasier Ellis Hospital (historical),-85.3932666,31.2121204,31.21212,-85.393267,
292,Washington County Hospital and Nursing Home,-88.2349757,31.4596081,31.459608,-88.234976,
293,Greensboro Hospital (historical),-87.5855616,32.7004087,32.700409,-87.585562,
294,United States Government Tuberculosis Hospital (historical),-86.0213682,34.6667514,34.666751,-86.021368,
295,Arab Hospital,-86.4963776,34.3134274,34.313427,-86.496378,
296,Boaz Nursing Home,-86.1616432,34.22065,34.22065,-86.161643,
297,Guntersville Hospital,-86.3124822,34.3373145,34.337315,-86.312482,
298,Marshall County Nursing Home,-86.2749802,34.2867601,34.28676,-86.27498,
299,Watson Hospital (historical),-86.9852863,34.6089809,34.608981,-86.985286,
300,Decatur General Hospital,-86.9720409,34.5904476,34.590448,-86.972041,
301,North Alabama Regional Hospital,-86.9670373,34.5219437,34.521944,-86.967037,
302,Beard Memorial Hospital,-85.9780068,31.8087676,31.808768,-85.978007,
303,University of Alabama Birmingham Highlands,-86.8066677,33.4949715,33.494972,-86.806668,
304,University of Alabama Medical Center,-86.8011008,33.5051054,33.505105,-86.801101,
305,Gadsden Regional Medical Center,-85.9659921,34.0079255,34.007926,-85.965992,
306,Coosa Valley Convalesent Center,-85.9235806,33.9545431,33.954543,-85.923581,
307,Riverview Regional Medical Center,-86.0036345,34.0043957,34.004396,-86.003634,
308,Walnut Street Hospital (historical),-86.0171943,34.0120418,34.012042,-86.017194,
309,Regional Medical Center - Anniston,-85.822749,33.656442,33.656442,-85.822749,
310,Saint Lukes Hospital (historical),-85.8260761,33.659548,33.659548,-85.826076,
311,Stringfellow Memorial Hospital,-85.8236771,33.6682859,33.668286,-85.823677,
312,Peoples Hospital,-87.272783,33.8326074,33.832607,-87.272783,
313,Walker County Health Clinic,-87.2805611,33.8362185,33.836219,-87.280561,
314,Crippled Childrens Clinic and Rehabilitation Center,-86.2741344,32.3279175,32.327918,-86.274134,
315,Fairview Hospital,-86.3241361,32.3529166,32.352917,-86.324136,
316,Griel Memorial Psychiatric Hospital,-86.2759354,32.3889251,32.388925,-86.275935,
317,Hale Infirmary (historical),-86.2921909,32.3701385,32.370139,-86.292191,
318,Montgomery County Health Center,-86.3158026,32.3656941,32.365694,-86.315803,
319,Montgomery Infirmary (historical),-86.3066358,32.3665274,32.366527,-86.306636,
320,Mount Meigs Medical and Diagnostic Center,-86.1021849,32.3809721,32.380972,-86.102185,
321,Plant System Hospital Number Three (historical),-86.3174829,34.3767581,34.376758,-86.317483,
322,Professional Center Hospital,-86.3102471,32.3740272,32.374027,-86.310247,
323,Andalusia Regional Hospital,-86.4945962,31.2959992,31.295999,-86.494596,
324,Florala Memorial Hospital,-86.3129012,31.0004271,31.000427,-86.312901,
325,Mizell Memorial Hospital,-86.254508,31.291881,31.291881,-86.254508,
326,Humana Hospital Russellville,-87.7186429,34.5075947,34.507595,-87.718643,
327,Albert P Brewer Development Center (historical),-88.2194484,30.6701906,30.670191,-88.219448,
328,City Hospital (historical),-88.0555544,30.6913011,30.691301,-88.055554,
329,University of South Alabama Children's and Women's Hospital,-88.0784227,30.6978964,30.697896,-88.078423,
330,Marine Hospital (historical),-88.054721,30.6913011,30.691301,-88.054721,
331,Mobile Mental Health Center,-88.0962019,30.704579,30.704579,-88.096202,
332,Providence Infirmary (historical),-88.0549988,30.6907456,30.690746,-88.054999,
333,Southern Infirmary (historical),-88.0658325,30.6932455,30.693246,-88.065832,
334,Suburban Hospital,-88.0702778,30.8482411,30.848241,-88.070278,
335,University of South Alabama Medical Center,-88.0988698,30.7073679,30.707368,-88.09887,
336,Baptist Medical Center Princeton,-86.8472883,33.4987158,33.498716,-86.847288,
337,Brookwood Medical Center,-86.7764912,33.4642662,33.464266,-86.776491,
338,UAB Health System Medical West Hospital,-86.9909897,33.3721403,33.37214,-86.99099,
339,HealthSouth Lakeshore Rehabilitation Hospital,-86.7861695,33.4685915,33.468592,-86.786169,
340,Alabama Baptist Hospital,-87.0336009,32.4012479,32.401248,-87.033601,
341,Good Samaritan Hospital (historical),-87.0227676,32.4168031,32.416803,-87.022768,
342,King Memorial Hospital,-87.027212,32.4104144,32.410414,-87.027212,
343,Selma Infirmary (historical),-87.0316566,32.4062478,32.406248,-87.031657,
344,Drummond Fraser Hospital (historical),-86.2533073,33.1803936,33.180394,-86.253307,
345,Memorial Hospital (historical),-86.2513627,33.1498388,33.149839,-86.251363,
